"","ACSA3","AEFL","CACA38","CAOV2","CAOV3","CATO6","CELA","DIVI5","FAGR","FRAM2","FRAMCO","FRAXI","JUNI","LIST2","LITU","PIEC2","QUAL","QURU","QUSH","QUVE","TIAM"
"ACSA3",0,0,5,4,6,0,0,0,0,0,3,0,0,6,0,0,2,1,0,0,0
"AEFL",0,61,62,76,1,0,0,0,0,0,0,0,6,8,0,0,0,2,0,0,1
"CACA38",44,9,190,51,0,0,0,2,0,17,2,52,133,4,16,10,31,70,47,0,0
"CAOV2",0,0,9,1,66,1,0,0,3,0,0,0,5,0,0,0,1,3,0,0,0
"CAOV3",0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"CATO6",0,0,2,1,0,45,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"CELA",0,0,23,1,0,1,38,0,0,58,83,0,0,1,2,0,0,1,0,1,12
"DIVI5",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,5
"FAGR",2,0,0,0,0,0,0,0,0,0,0,50,0,1,60,0,16,0,0,0,0
"FRAM2",1,2,12,2,1,3,0,1,0,44,35,19,1,6,12,51,26,19,28,0,2
"FRAMCO",0,64,4,68,0,0,24,0,0,15,67,0,0,46,36,14,5,0,0,0,9
"FRAXI",0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"JUNI",0,0,0,0,0,0,40,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"LIST2",4,0,5,0,0,0,0,0,29,4,0,38,4,110,78,8,81,0,0,0,0
"LITU",18,0,58,158,0,79,2,0,38,100,25,0,0,108,230,0,105,0,78,111,68
"PIEC2",53,0,1,0,0,0,0,0,10,0,11,0,0,47,160,633,7,0,2,0,6
"QUAL",105,23,148,28,5,2,56,2,0,155,29,0,9,21,61,146,897,145,127,44,86
"QURU",8,0,16,10,0,0,0,3,0,0,23,0,1,27,0,0,2,5,0,0,0
"QUSH",0,0,3,0,0,1,0,0,0,4,0,1,0,0,9,17,0,65,35,0,5
"QUVE",0,0,0,0,0,0,0,0,0,1,16,0,0,7,42,1,18,0,0,4,0
"TIAM",5,1,12,0,1,28,0,72,0,2,17,0,0,8,11,0,5,6,3,0,154
