"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: ACSA3",0,0.996038483305037,0,0.967032967032967,0,0,NA,0.0328407224958949,0,0.00383141762452107,0.498019241652518
"Class: AEFL",0.2125,0.985030777839955,0.241134751773049,0.982419422352449,0.24113475177305,0.2125,0.225913621262458,0.0218938149972633,0.00465243568691845,0.0192939244663383,0.598765388919978
"Class: CACA38",0.342857142857143,0.91108476585655,0.242424242424242,0.943523634131369,0.242424242424242,0.342857142857143,0.284023668639053,0.0766283524904215,0.0262725779967159,0.108374384236453,0.626970954356846
"Class: CAOV2",0.0175,0.987550665894615,0.075268817204301,0.945530145530146,0.0752688172043011,0.0175,0.0283975659229209,0.0547345374931582,0.000957854406130268,0.0127257799671593,0.502525332947308
"Class: CAOV3",0,0.999723298284449,0,0.989050095811662,0,0,NA,0.0109469074986316,0,0.000273672687465791,0.499861649142225
"Class: CATO6",0.23125,0.998601007274762,0.787234042553195,0.983060184547583,0.787234042553192,0.23125,0.357487922705314,0.0218938149972633,0.00506294471811713,0.00643130815544609,0.614925503637381
"Class: CELA",0.28125,0.976496922216004,0.211267605633803,0.983791402396054,0.211267605633803,0.28125,0.241286863270777,0.0218938149972633,0.0061576354679803,0.0291461412151067,0.628873461108002
"Class: DIVI5",0,0.99792473713337,0,0.989030577265871,0,0,NA,0.0109469074986316,0,0.00205254515599343,0.498962368566685
"Class: FAGR",0,0.996817930271168,0,0.989018531228552,0,0,NA,0.0109469074986316,0,0.0031472359058566,0.498408965135584
"Class: FRAM2",0.1075,0.974232773595831,0.194570135746606,0.949626075913645,0.194570135746606,0.1075,0.138486312399356,0.0547345374931582,0.0058839627805145,0.0302408319649699,0.540866386797915
"Class: FRAMCO",0.23125,0.933171150543789,0.136783733826248,0.963647110979755,0.136783733826248,0.23125,0.171893147502904,0.0437876299945265,0.0101258894362343,0.0740284619594964,0.582210575271895
"Class: FRAXI",0,0.999860100727476,0,0.978103188723142,0,0,NA,0.0218938149972633,0,0.000136836343732895,0.499930050363738
"Class: JUNI",0.0125,0.996082820369334,0.0666666666666661,0.97829073921407,0.0666666666666667,0.0125,0.0210526315789474,0.0218938149972633,0.000273672687465791,0.00410509031198686,0.504291410184667
"Class: LIST2",0.3275,0.953676896352056,0.290465631929046,0.960770016042001,0.290465631929047,0.3275,0.307873090481786,0.0547345374931582,0.0179255610290093,0.0617131910235359,0.640588448176028
"Class: LITU",0.475,0.847601700060716,0.25408618127786,0.93659845689366,0.25408618127786,0.475,0.33107454017425,0.0985221674876847,0.0467980295566502,0.184181718664477,0.661300850030358
"Class: PIEC2",0.717045454545455,0.968108276291226,0.754784688995215,0.961526576019778,0.754784688995215,0.717045454545455,0.735431235431236,0.120415982484948,0.086343732895457,0.114395183360701,0.84257686541834
"Class: QUAL",0.758333333333333,0.813032089063523,0.443469785575049,0.94482496194825,0.443469785575049,0.758333333333333,0.559655596555966,0.164203612479475,0.124521072796935,0.280788177339901,0.785682711198428
"Class: QURU",0.015625,0.994562106468231,0.116279069767443,0.956641431520991,0.116279069767442,0.015625,0.0275482093663912,0.0437876299945265,0.000684181718664477,0.0058839627805145,0.505093553234116
"Class: QUSH",0.059375,0.989839725243274,0.211111111111112,0.958298697700194,0.211111111111111,0.059375,0.0926829268292683,0.0437876299945265,0.00259989053092501,0.0123152709359606,0.524607362621637
"Class: QUVE",0.0125,0.996642417459429,0.0769230769230759,0.978302664103268,0.0769230769230769,0.0125,0.021505376344086,0.0218938149972633,0.000273672687465791,0.00355774493705528,0.504571208729715
"Class: TIAM",0.459770114942529,0.977442528735632,0.504731861198738,0.973108282076956,0.504731861198738,0.459770114942529,0.481203007518797,0.0476190476190476,0.0218938149972633,0.0433771209633279,0.71860632183908
