"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: ACNE2",0.8875,0.995657894736842,0.81142857142857,0.997626895187871,0.811428571428571,0.8875,0.847761194029851,0.0206185567010309,0.0182989690721649,0.0225515463917526,0.941578947368421
"Class: ACSA3",0,0.983510638297872,0,0.968569931901519,0,0,NA,0.0309278350515464,0,0.015979381443299,0.491755319148936
"Class: AEFL",0.3,0.984868421052632,0.294478527607362,0.985257338423062,0.294478527607362,0.3,0.297213622291022,0.0206185567010309,0.00618556701030928,0.0210051546391753,0.642434210526316
"Class: CACA38",0.271428571428571,0.889444444444444,0.160337552742616,0.940105695830887,0.160337552742616,0.271428571428571,0.20159151193634,0.0721649484536082,0.0195876288659794,0.122164948453608,0.580436507936508
"Class: CAOV2",0.0225,0.975271739130435,0.0471204188481675,0.948341920993526,0.0471204188481675,0.0225,0.0304568527918782,0.0515463917525773,0.00115979381443299,0.0246134020618557,0.498885869565217
"Class: CAOV3",0,1,NA,0.989690721649485,NA,0,NA,0.0103092783505155,0,0,0.5
"Class: CATO6",0.10625,0.991447368421053,0.207317073170732,0.981375358166189,0.207317073170732,0.10625,0.140495867768595,0.0206185567010309,0.00219072164948454,0.0105670103092784,0.548848684210526
"Class: CELA",0.08125,0.97828947368421,0.0730337078651684,0.980611975731997,0.0730337078651685,0.08125,0.0769230769230769,0.0206185567010309,0.00167525773195876,0.0229381443298969,0.529769736842105
"Class: DIVI5",0,0.999609375,0,0.989686734562331,0,0,NA,0.0103092783505155,0,0.00038659793814433,0.4998046875
"Class: FAGR",0,0.998307291666667,0,0.989673421969795,0,0,NA,0.0103092783505155,0,0.00167525773195876,0.499153645833333
"Class: FRAM2",0.1175,0.965217391304348,0.155115511551155,0.952661928389433,0.155115511551155,0.1175,0.13371266002845,0.0515463917525773,0.00605670103092784,0.0390463917525773,0.541358695652174
"Class: FRAMCO",0.18125,0.981048387096774,0.291457286432161,0.96534849887581,0.291457286432161,0.18125,0.223506743737958,0.0412371134020619,0.00747422680412371,0.0256443298969072,0.581149193548387
"Class: FRAXI",0,0.997763157894737,0,0.979336174609325,0,0,NA,0.0206185567010309,0,0.00219072164948454,0.498881578947368
"Class: JUNI",0.0625,0.993484042553191,0.234374999999999,0.970764033264033,0.234375,0.0625,0.0986842105263158,0.0309278350515464,0.00193298969072165,0.00824742268041237,0.527992021276596
"Class: LIST2",0.15,0.954347826086957,0.151515151515152,0.953829440521456,0.151515151515152,0.15,0.150753768844221,0.0515463917525773,0.0077319587628866,0.0510309278350515,0.552173913043478
"Class: LITU",0.563636363636364,0.859011627906977,0.338335607094134,0.938989513822688,0.338335607094134,0.563636363636364,0.422847399829497,0.11340206185567,0.0639175257731959,0.188917525773196,0.71132399577167
"Class: PIEC2",0.971590909090909,0.948255813953488,0.706028075970273,0.996182623301267,0.706028075970273,0.971590909090909,0.817790530846485,0.11340206185567,0.110180412371134,0.156056701030928,0.959923361522199
"Class: QUAL",0.6075,0.867835365853659,0.456766917293233,0.923588578844906,0.456766917293233,0.6075,0.521459227467811,0.154639175257732,0.0939432989690722,0.205670103092783,0.737667682926829
"Class: QURU",0.0125,0.984274193548387,0.0330578512396694,0.958633328969761,0.0330578512396694,0.0125,0.018140589569161,0.0412371134020619,0.000515463917525773,0.0155927835051546,0.498387096774194
"Class: QUSH",0.059375,0.984408602150538,0.14074074074074,0.960524590163934,0.140740740740741,0.059375,0.0835164835164835,0.0412371134020619,0.00244845360824742,0.0173969072164948,0.521891801075269
"Class: QUVE",0,1,NA,0.979381443298969,NA,0,NA,0.0206185567010309,0,0,0.5
"Class: TIAM",0.5125,0.976902173913043,0.546666666666667,0.973595125253893,0.546666666666667,0.5125,0.529032258064516,0.0515463917525773,0.0264175257731959,0.0483247422680412,0.744701086956522
