"","SpeciesID","num_canopies","maximum_height","median_height","mean_height","sd_height"
"1","LITU",37,42.4823303222656,36.8173332214355,36.151251406283,3.45010491494531
"2","QUAL",36,36.2883377075195,30.5333433151245,30.7890556123522,3.13502527510008
"3","PIEC2",23,35.264331817627,32.9023323059082,32.6556358337402,1.53976062283892
"4","FRAMCO",21,39.6943435668945,30.511344909668,30.6472409566243,3.91559365045882
"5","LIST2",17,41.4033317565918,33.2153396606445,32.4303935555851,3.77439306245627
"6","TIAM",15,38.0863380432129,27.8873291015625,28.8471333821615,5.21258489018876
"7","CACA38",14,33.4693260192871,25.7428398132324,26.8158329554967,3.67684699332257
"8","CAOV2",13,33.7203369140625,28.4223346710205,28.1090261019193,4.05800393236904
"9","QUSH",8,36.126350402832,29.1943368911743,29.4833338260651,3.60282238591818
"10","ACSA3C",7,32.3713417053223,27.8113384246826,28.1394784109933,2.38478085844658
"11","FAGR",7,38.6053276062012,33.1823348999023,33.346189226423,4.23037167994404
"12","QURU",7,33.5513381958008,26.9003257751465,27.6770493643624,2.80781895065544
"13","AEFL",6,30.5593376159668,24.4953441619873,25.1431725819906,3.40291445510519
"14","CATO6",6,33.1733283996582,28.3808345794678,28.6594985326131,4.0832617818331
"15","JUNI",6,36.679328918457,30.8178329467773,31.4188327789307,3.88647457207408
"16","CAGL8",4,32.1843376159668,29.9508323669434,29.4290823936462,2.80115734092844
"17","CELA",4,33.1063385009766,30.1303310394287,30.6280851364136,1.73874673036656
"18","QUVE",4,36.5683364868164,31.8778257369995,32.3085784912109,3.24702152862874
"19","ACNE2",3,24.4583301544189,24.2203273773193,23.4399967193604,1.56222780672661
"20","FRQU",3,35.6153259277344,32.3053207397461,31.9623260498047,3.83601525361524
"21","QUMU",3,34.3243255615234,24.87034034729,27.4910024007161,5.97112588311178
"22","CALA21",2,36.4393310546875,31.5078325271606,31.5078325271606,6.97419210045143
"23","DIVI5",2,32.0713272094727,28.8543310165405,28.8543310165405,4.54951964614723
"24","QUPA5",2,33.1273345947266,32.7948322296143,32.7948322296143,0.470229354262952
"25","ULSE",2,27.4793300628662,27.4793300628662,27.4793300628662,0
"26","CACO15",1,36.0283355712891,36.0283355712891,36.0283355712891,NA
"27","CARYA",1,28.8373317718506,28.8373317718506,28.8373317718506,NA
"28","MAAC",1,30.7523384094238,30.7523384094238,30.7523384094238,NA
"29","PLOC",1,34.84033203125,34.84033203125,34.84033203125,NA
"30","PRSES",1,35.0703430175781,35.0703430175781,35.0703430175781,NA
"31","QUNI",1,27.9673366546631,27.9673366546631,27.9673366546631,NA
"32","ULAL",1,35.9903411865234,35.9903411865234,35.9903411865234,NA
"33","ULAM",1,29.9113349914551,29.9113349914551,29.9113349914551,NA
