"","ACNE2","ACSA3","AEFL","CACA38","CAOV2","CAOV3","CATO6","CELA","DIVI5","FAGR","FRAM2","FRAMCO","FRAXI","JUNI","LIST2","LITU","PIEC2","QUAL","QURU","QUSH","QUVE","TIAM"
"ACNE2",115,0,0,0,0,0,0,58,0,0,0,0,0,0,0,6,0,1,0,0,0,0
"ACSA3",0,0,3,1,6,1,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0
"AEFL",0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0
"CACA38",0,28,30,136,49,21,5,0,9,0,84,5,14,72,44,6,5,41,97,105,0,14
"CAOV2",0,14,17,61,19,6,33,3,2,2,14,45,0,5,9,23,13,52,26,30,0,37
"CAOV3",0,0,47,59,34,18,0,0,0,0,3,0,13,11,7,29,0,6,18,4,0,0
"CATO6",0,0,0,4,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
"CELA",0,0,0,1,0,0,0,0,0,0,7,8,0,0,0,1,0,0,0,0,0,0
"DIVI5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,57
"FAGR",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRAM2",0,3,0,8,2,2,1,0,1,0,16,0,4,2,0,3,2,69,6,32,0,1
"FRAMCO",11,1,0,24,1,0,14,21,2,3,25,19,2,1,10,54,23,63,14,16,0,41
"FRAXI",0,0,0,1,0,0,0,0,0,0,0,5,0,2,3,0,1,3,0,6,0,0
"JUNI",14,0,0,0,1,0,2,1,0,0,0,2,6,7,2,18,0,2,0,0,0,0
"LIST2",0,31,5,113,133,0,41,37,1,40,88,138,28,75,170,201,23,144,38,39,30,11
"LITU",1,45,30,22,106,0,35,3,0,23,37,6,60,28,68,384,0,68,3,2,61,3
"PIEC2",5,6,2,13,3,1,6,36,29,3,76,84,0,7,32,26,797,44,11,15,43,207
"QUAL",13,106,15,90,25,27,18,1,2,3,27,5,12,17,16,111,15,681,80,68,19,36
"QURU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
"QUSH",0,3,3,3,7,0,0,0,0,6,1,0,1,6,25,9,0,14,5,1,6,2
"QUVE",0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"TIAM",0,2,8,22,11,3,1,0,34,0,21,3,13,7,1,5,0,7,22,2,0,69
