"","ACNE2","ACSA3","AEFL","CACA38","CAOV2","CAOV3","CATO6","CELA","DIVI5","FAGR","FRAM2","FRAMCO","FRAXI","JUNI","LIST2","LITU","PIEC2","QUAL","QURU","QUSH","QUVE","TIAM"
"ACNE2",142,0,0,0,0,0,0,31,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"ACSA3",0,0,23,15,39,0,0,0,0,0,3,0,0,4,18,5,0,8,9,0,0,0
"AEFL",0,0,48,62,27,1,8,0,0,0,0,14,0,0,2,0,0,0,1,0,0,0
"CACA38",0,63,1,152,55,13,0,0,6,0,102,18,56,137,82,1,0,63,121,77,0,1
"CAOV2",0,0,12,62,9,5,6,0,0,0,4,29,0,0,1,18,0,14,29,2,0,0
"CAOV3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CATO6",0,0,16,23,7,7,17,0,0,0,0,0,0,0,1,1,0,6,4,0,0,0
"CELA",0,0,0,15,1,0,0,13,0,0,40,64,0,1,0,0,0,29,0,0,6,9
"DIVI5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"FAGR",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"FRAM2",0,0,0,24,5,0,0,0,0,0,47,40,12,0,31,0,0,113,15,14,0,2
"FRAMCO",4,0,0,5,1,0,0,25,0,0,37,58,0,0,20,4,0,1,5,0,38,1
"FRAXI",0,0,0,0,0,0,0,0,0,0,4,0,0,3,10,0,0,0,0,0,0,0
"JUNI",1,0,0,0,0,0,4,39,0,0,0,0,0,15,0,4,0,1,0,0,0,0
"LIST2",0,6,0,1,0,0,0,0,0,71,0,27,37,0,60,133,3,56,0,0,0,2
"LITU",13,50,0,64,208,0,76,52,0,4,91,1,45,64,22,496,12,126,0,0,73,69
"PIEC2",0,14,0,0,2,0,0,0,0,2,9,0,0,0,47,103,855,46,1,77,0,55
"QUAL",0,92,18,94,12,52,6,0,6,0,56,53,8,13,60,71,10,729,109,112,43,52
"QURU",0,2,42,28,4,1,8,0,0,0,1,0,0,1,20,3,0,2,4,5,0,0
"QUSH",0,6,0,2,29,0,0,0,0,3,5,0,0,2,26,31,0,1,10,19,0,1
"QUVE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TIAM",0,3,0,13,1,1,35,0,68,0,1,16,2,0,0,0,0,4,12,14,0,205
