"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: ACSA3",0,0.996179966044143,0,0.967037494849609,0,0,NA,0.0328407224958949,0,0.00369458128078818,0.498089983022071
"Class: AEFL",0.38125,0.97817571348629,0.28110599078341,0.98603864053025,0.28110599078341,0.38125,0.323607427055703,0.0218938149972633,0.00834701696770662,0.0296934865900383,0.679712856743145
"Class: CACA38",0.339285714285714,0.927682276229994,0.28023598820059,0.944193061840121,0.28023598820059,0.339285714285714,0.306946688206785,0.0766283524904215,0.0259989053092501,0.0927750410509031,0.633483995257854
"Class: CAOV2",0.0025,0.987261146496815,0.0112359550561798,0.944729186867987,0.0112359550561798,0.0025,0.00408997955010225,0.0547345374931582,0.000136836343732895,0.0121784345922277,0.494880573248408
"Class: CAOV3",0,0.998478140564471,0,0.989036590379608,0,0,NA,0.0109469074986316,0,0.00150519978106185,0.499239070282236
"Class: CATO6",0.28125,0.999160604364857,0.882352941176473,0.984153231362822,0.882352941176471,0.28125,0.42654028436019,0.0218938149972633,0.0061576354679803,0.00697865353037767,0.640205302182429
"Class: CELA",0.2375,0.974398433128148,0.171945701357466,0.982785381684775,0.171945701357466,0.2375,0.199475065616798,0.0218938149972633,0.00519978106185003,0.0302408319649699,0.605949216564074
"Class: DIVI5",0,0.998754842280022,0,0.989039594464995,0,0,NA,0.0109469074986316,0,0.00123152709359606,0.499377421140011
"Class: FAGR",0,0.982152739346984,0,0.988856386683382,0,0,NA,0.0109469074986316,0,0.0176518883415435,0.491076369673492
"Class: FRAM2",0.11,0.968008106543138,0.166037735849057,0.949453357944058,0.166037735849057,0.11,0.132330827067669,0.0547345374931582,0.0060207991242474,0.0362616310892173,0.539004053271569
"Class: FRAMCO",0.209375,0.959215798511734,0.190340909090909,0.96362852213916,0.190340909090909,0.209375,0.199404761904762,0.0437876299945265,0.009168035030104,0.0481663929939792,0.584295399255867
"Class: FRAXI",0,0.999440402909905,0,0.978094194961665,0,0,NA,0.0218938149972633,0,0.000547345374931582,0.499720201454952
"Class: JUNI",0,0.993284834918858,0,0.977961432506887,0,0,NA,0.0218938149972633,0,0.00656814449917898,0.496642417459429
"Class: LIST2",0.275,0.963665315576144,0.304709141274239,0.958255362026774,0.304709141274238,0.275,0.289093298291721,0.0547345374931582,0.0150519978106185,0.0493979200875753,0.619332657788072
"Class: LITU",0.319444444444444,0.856102003642987,0.195246179966044,0.920065252854812,0.195246179966044,0.319444444444444,0.242360379346681,0.0985221674876847,0.031472359058566,0.161193212917351,0.587773224043716
"Class: PIEC2",0.719318181818182,0.953795892968264,0.680645161290323,0.961273126371903,0.680645161290323,0.719318181818182,0.699447513812155,0.120415982484948,0.0866174055829228,0.127257799671593,0.836557037393223
"Class: QUAL",0.7475,0.804846103470858,0.42939205361417,0.941942900938877,0.429392053614169,0.7475,0.545454545454545,0.164203612479475,0.122742200328407,0.285851122058019,0.776173051735429
"Class: QURU",0.015625,0.98712077847739,0.0526315789473683,0.956328850686261,0.0526315789473684,0.015625,0.0240963855421687,0.0437876299945265,0.000684181718664477,0.0129994526546251,0.501372889238695
"Class: QUSH",0.109375,0.984974241556955,0.25,0.960239955357143,0.25,0.109375,0.152173913043478,0.0437876299945265,0.00478927203065134,0.0191570881226054,0.547174620778477
"Class: QUVE",0.025,0.988108561835478,0.0449438202247191,0.978390358775454,0.0449438202247191,0.025,0.0321285140562249,0.0218938149972633,0.000547345374931582,0.0121784345922277,0.506554280917739
"Class: TIAM",0.442528735632184,0.975431034482759,0.473846153846153,0.972218244307604,0.473846153846154,0.442528735632184,0.457652303120357,0.0476190476190476,0.0210727969348659,0.044471811713191,0.708979885057471
