"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: ACNE2",0.8875,0.999210526315789,0.959459459459458,0.997635312664214,0.959459459459459,0.8875,0.922077922077922,0.0206185567010309,0.0182989690721649,0.0190721649484536,0.943355263157895
"Class: ACSA3",0,0.982579787234043,0,0.968541093197011,0,0,NA,0.0309278350515464,0,0.0168814432989691,0.491289893617021
"Class: AEFL",0.33125,0.986710526315789,0.344155844155844,0.985932158821983,0.344155844155844,0.33125,0.337579617834395,0.0206185567010309,0.00682989690721649,0.0198453608247423,0.658980263157895
"Class: CACA38",0.275,0.895277777777778,0.169603524229075,0.940747227086982,0.169603524229075,0.275,0.209809264305177,0.0721649484536082,0.0198453608247423,0.117010309278351,0.585138888888889
"Class: CAOV2",0.05,0.969565217391304,0.081967213114754,0.94944119212347,0.0819672131147541,0.05,0.062111801242236,0.0515463917525773,0.00257731958762887,0.0314432989690722,0.509782608695652
"Class: CAOV3",0,1,NA,0.989690721649485,NA,0,NA,0.0103092783505155,0,0,0.5
"Class: CATO6",0.13125,0.992105263157895,0.259259259259259,0.981898684724573,0.259259259259259,0.13125,0.174273858921162,0.0206185567010309,0.00270618556701031,0.0104381443298969,0.561677631578947
"Class: CELA",0.05,0.981315789473684,0.0533333333333334,0.980026281208936,0.0533333333333333,0.05,0.0516129032258065,0.0206185567010309,0.00103092783505155,0.0193298969072165,0.515657894736842
"Class: DIVI5",0,0.998697916666667,0,0.989677419354839,0,0,NA,0.0103092783505155,0,0.00128865979381443,0.499348958333333
"Class: FAGR",0,0.9984375,0,0.989674754775426,0,0,NA,0.0103092783505155,0,0.00154639175257732,0.49921875
"Class: FRAM2",0.1075,0.969157608695652,0.159259259259259,0.952336448598131,0.159259259259259,0.1075,0.128358208955224,0.0515463917525773,0.00554123711340206,0.0347938144329897,0.538328804347826
"Class: FRAMCO",0.1875,0.980779569892473,0.295566502463055,0.965594812756385,0.295566502463054,0.1875,0.229445506692161,0.0412371134020619,0.0077319587628866,0.026159793814433,0.584139784946237
"Class: FRAXI",0,0.997894736842105,0,0.979338842975207,0,0,NA,0.0206185567010309,0,0.00206185567010309,0.498947368421053
"Class: JUNI",0.05,0.989228723404255,0.129032258064516,0.970262162514673,0.129032258064516,0.05,0.0720720720720721,0.0309278350515464,0.00154639175257732,0.0119845360824742,0.519614361702128
"Class: LIST2",0.1175,0.951902173913043,0.117206982543641,0.952031526022557,0.117206982543641,0.1175,0.117353308364544,0.0515463917525773,0.00605670103092784,0.0516752577319588,0.534701086956522
"Class: LITU",0.582954545454546,0.858575581395349,0.345222072678331,0.941504622250558,0.345222072678331,0.582954545454546,0.433643279797126,0.11340206185567,0.0661082474226804,0.191494845360825,0.720765063424947
"Class: PIEC2",0.980681818181818,0.937645348837209,0.667956656346749,0.997371675943104,0.667956656346749,0.980681818181818,0.794659300184162,0.11340206185567,0.111211340206186,0.166494845360825,0.959163583509514
"Class: QUAL",0.634166666666667,0.870579268292683,0.472670807453416,0.928617886178862,0.472670807453416,0.634166666666667,0.541637010676157,0.154639175257732,0.0980670103092783,0.207474226804124,0.752372967479675
"Class: QURU",0.003125,0.988037634408602,0.0111111111111111,0.958409387222947,0.0111111111111111,0.003125,0.0048780487804878,0.0412371134020619,0.000128865979381443,0.0115979381443299,0.495581317204301
"Class: QUSH",0.08125,0.989516129032258,0.25,0.961598746081505,0.25,0.08125,0.122641509433962,0.0412371134020619,0.00335051546391753,0.0134020618556701,0.535383064516129
"Class: QUVE",0,0.999736842105263,0,0.979376127868007,0,0,NA,0.0206185567010309,0,0.000257731958762887,0.499868421052632
"Class: TIAM",0.475,0.97758152173913,0.535211267605634,0.971640783254558,0.535211267605634,0.475,0.503311258278146,0.0515463917525773,0.0244845360824742,0.0457474226804124,0.726290760869565
