"","ACNE2","ACSA3","AEFL","CACA38","CAOV2","CAOV3","CATO6","CELA","DIVI5","FAGR","FRAM2","FRAMCO","FRAXI","JUNI","LIST2","LITU","PIEC2","QUAL","QURU","QUSH","QUVE","TIAM"
"ACNE2",142,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ACSA3",0,0,27,16,30,5,0,0,0,0,3,0,0,2,19,5,0,9,15,0,0,0
"AEFL",0,0,53,70,28,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CACA38",0,63,2,154,53,6,0,0,6,0,108,0,52,135,77,2,0,58,113,79,0,0
"CAOV2",0,0,22,56,20,5,1,0,0,0,1,58,0,5,9,23,0,13,28,2,0,1
"CAOV3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CATO6",0,0,13,16,8,3,21,0,0,0,0,0,0,0,2,3,0,9,1,5,0,0
"CELA",0,0,0,2,0,0,0,8,0,0,32,51,0,11,0,2,0,32,0,0,5,7
"DIVI5",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
"FAGR",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0
"FRAM2",0,0,0,29,4,0,0,0,0,0,43,33,15,0,32,0,0,72,12,29,0,1
"FRAMCO",2,0,1,3,4,0,0,26,0,0,46,60,2,1,15,3,0,2,3,0,32,3
"FRAXI",0,0,0,0,0,0,0,0,0,0,7,0,0,0,9,0,0,0,0,0,0,0
"JUNI",1,0,0,0,0,0,4,68,0,0,0,0,1,12,0,7,0,0,0,0,0,0
"LIST2",0,5,0,2,0,0,0,0,0,68,0,87,40,0,47,101,4,47,0,0,0,0
"LITU",8,61,0,76,212,0,75,53,0,10,83,5,39,56,23,513,5,110,0,0,87,70
"PIEC2",1,12,0,0,2,0,0,0,0,0,13,0,0,2,45,139,863,83,1,59,0,72
"QUAL",6,95,15,94,9,58,9,0,11,0,59,14,9,12,68,65,8,761,129,105,36,47
"QURU",0,1,26,27,3,2,0,0,0,0,0,0,0,2,21,1,0,0,1,6,0,0
"QUSH",0,2,0,2,25,0,0,0,0,2,4,0,0,2,32,3,0,0,5,26,0,1
"QUVE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"TIAM",0,1,0,12,2,1,48,0,63,0,1,12,2,0,0,0,0,2,12,9,0,190
