"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: ACNE2",0.71875,0.991536458333333,0.63888888888889,0.994125326370757,0.638888888888889,0.71875,0.676470588235294,0.0204081632653061,0.0146683673469388,0.0229591836734694,0.855143229166667
"Class: ACSA3",0,0.9975,0,0.969313387034906,0,0,NA,0.0306122448979592,0,0.0024234693877551,0.49875
"Class: AEFL",0,0.998828125,0,0.979568382071255,0,0,NA,0.0204081632653061,0,0.00114795918367347,0.4994140625
"Class: CACA38",0.242857142857143,0.913598901098901,0.177777777777778,0.940070671378092,0.177777777777778,0.242857142857143,0.205283018867925,0.0714285714285714,0.0173469387755102,0.0975765306122449,0.578228021978022
"Class: CAOV2",0.0475,0.947311827956989,0.0462287104622871,0.948714497240544,0.0462287104622871,0.0475,0.0468557336621455,0.0510204081632653,0.0024234693877551,0.0524234693877551,0.497405913978495
"Class: CAOV3",0.225,0.970231958762887,0.072289156626506,0.991832433144513,0.072289156626506,0.225,0.109422492401216,0.0102040816326531,0.00229591836734694,0.0317602040816327,0.597615979381443
"Class: CATO6",0.0125,0.998828125,0.181818181818176,0.97981862306808,0.181818181818182,0.0125,0.0233918128654971,0.0204081632653061,0.000255102040816327,0.0014030612244898,0.5056640625
"Class: CELA",0,0.997786458333333,0,0.979547488175892,0,0,NA,0.0204081632653061,0,0.00216836734693878,0.498893229166667
"Class: DIVI5",0,0.992396907216495,0,0.989718545174142,0,0,NA,0.0102040816326531,0,0.00752551020408163,0.496198453608247
"Class: FAGR",0,0.999871134020619,0,0.989794616660288,0,0,NA,0.0102040816326531,0,0.000127551020408163,0.499935567010309
"Class: FRAM2",0.04,0.981720430107527,0.105263157894737,0.950052029136316,0.105263157894737,0.04,0.0579710144927536,0.0510204081632653,0.00204081632653061,0.0193877551020408,0.510860215053763
"Class: FRAMCO",0.059375,0.956648936170213,0.0550724637681159,0.959839893262175,0.0550724637681159,0.059375,0.0571428571428571,0.0408163265306122,0.0024234693877551,0.0440051020408163,0.508011968085106
"Class: FRAXI",0,0.997265625,0,0.979537025195038,0,0,NA,0.0204081632653061,0,0.00267857142857143,0.4986328125
"Class: JUNI",0.0291666666666667,0.993684210526316,0.127272727272728,0.970070648683365,0.127272727272727,0.0291666666666667,0.0474576271186441,0.0306122448979592,0.000892857142857143,0.00701530612244898,0.511425438596491
"Class: LIST2",0.425,0.836559139784946,0.122655122655123,0.96436318562132,0.122655122655123,0.425,0.19036954087346,0.0510204081632653,0.0216836734693878,0.176785714285714,0.630779569892473
"Class: LITU",0.436363636363636,0.913649425287356,0.389847715736041,0.92764405543399,0.389847715736041,0.436363636363636,0.411796246648794,0.112244897959184,0.0489795918367347,0.125637755102041,0.675006530825496
"Class: PIEC2",0.905681818181818,0.906752873563218,0.551175656984786,0.987019080387864,0.551175656984786,0.905681818181818,0.685296646603611,0.112244897959184,0.101658163265306,0.184438775510204,0.906217345872518
"Class: QUAL",0.5675,0.893674698795181,0.49098774333093,0.919572291957229,0.49098774333093,0.5675,0.526478546579049,0.153061224489796,0.0868622448979592,0.176913265306122,0.73058734939759
"Class: QURU",0,0.998404255319149,0,0.959121103730199,0,0,NA,0.0408163265306122,0,0.00153061224489796,0.499202127659574
"Class: QUSH",0.003125,0.987898936170213,0.0108695652173913,0.958828084667011,0.0108695652173913,0.003125,0.00485436893203884,0.0408163265306122,0.000127551020408163,0.011734693877551,0.495511968085106
"Class: QUVE",0.00625,0.99921875,0.14285714285715,0.979701263883569,0.142857142857143,0.00625,0.0119760479041916,0.0204081632653061,0.000127551020408163,0.000892857142857143,0.502734375
"Class: TIAM",0.14375,0.977989130434783,0.298701298701299,0.945985017742147,0.298701298701299,0.14375,0.194092827004219,0.0612244897959184,0.00880102040816327,0.0294642857142857,0.560869565217391
