"","ACSA3","AEFL","CACA38","CAOV2","CAOV3","CATO6","CELA","DIVI5","FAGR","FRAM2","FRAMCO","FRAXI","JUNI","LIST2","LITU","PIEC2","QUAL","QURU","QUSH","QUVE","TIAM"
"ACSA3",0,0,6,8,9,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0
"AEFL",0,34,46,48,1,0,0,0,0,0,0,0,4,6,0,0,0,1,0,0,1
"CACA38",45,28,192,65,0,0,0,1,0,37,6,45,113,4,31,45,24,69,84,0,3
"CAOV2",0,0,11,7,57,1,0,0,3,0,0,1,8,2,1,0,1,1,0,0,0
"CAOV3",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CATO6",0,0,3,2,2,37,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
"CELA",0,0,20,1,0,3,45,0,0,56,69,0,0,1,2,0,0,2,0,1,13
"DIVI5",0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,1,0,2,0,1,5
"FAGR",4,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,6,0,0,0,0
"FRAM2",7,1,20,2,1,4,0,3,0,43,44,17,1,5,4,29,6,20,14,0,0
"FRAMCO",2,81,3,74,0,14,66,0,1,12,74,10,0,30,71,65,9,1,1,0,27
"FRAXI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"JUNI",0,0,0,0,0,1,21,0,0,0,0,1,2,1,3,0,1,0,0,0,0
"LIST2",6,2,3,0,0,0,1,0,36,2,2,54,10,131,91,7,87,4,1,0,14
"LITU",40,0,63,158,0,74,10,0,32,83,14,28,4,100,342,2,136,6,80,125,49
"PIEC2",17,1,4,1,0,0,0,0,8,16,25,0,0,51,56,631,3,6,2,2,13
"QUAL",111,8,173,28,8,8,17,2,0,149,29,2,12,56,94,94,910,148,113,28,62
"QURU",4,5,6,6,0,0,0,2,0,0,11,0,2,0,0,0,1,5,1,0,0
"QUSH",1,0,3,0,1,4,0,0,0,1,0,0,3,0,1,3,0,54,19,0,0
"QUVE",0,0,0,0,0,0,0,0,0,0,3,0,0,7,5,3,5,0,0,2,1
"TIAM",3,0,5,0,1,14,0,72,0,1,39,0,0,3,6,0,8,1,4,0,160
